track,segment,time,time_utc,time_diff,elapsed_time,elevation,latitude,longitude,distance,elapsed_distance,speed,grade
0,0,2020-07-12 11:15:01+00:00,1594552501.0,,,751.0209000000001,40.080766,-83.036139,,,,
0,0,2020-07-12 11:15:02+00:00,1594552502.0,1.0,1.0,751.0209000000001,40.080772,-83.036132,0.0005557032952749898,0.0005557032952749898,2.0005318629899635,0.0
0,0,2020-07-12 11:15:04+00:00,1594552504.0,2.0,3.0,750.6928,40.080779,-83.036126,0.0005783894012580498,0.0011340926965330398,1.0411009222644896,-10.743653217020048
0,0,2020-07-12 11:15:05+00:00,1594552505.0,1.0,4.0,750.6928,40.080786,-83.03612,0.0005783893837414936,0.0017124820802745333,2.0822017814693767,0.0
0,0,2020-07-12 11:15:07+00:00,1594552507.0,2.0,6.0,750.6928,40.080792,-83.036115,0.0004916611142622986,0.002204143194536832,0.8849900056721376,0.0
0,0,2020-07-12 11:15:09+00:00,1594552509.0,2.0,8.0,750.6928,40.080799,-83.036109,0.0005783893501606783,0.00278253254469751,1.041100830289221,0.0
0,0,2020-07-12 11:15:10+00:00,1594552510.0,1.0,9.0,750.6928,40.080806,-83.036103,0.0005783893326441183,0.0033609218773416284,2.082201597518826,0.0
0,0,2020-07-12 11:15:12+00:00,1594552512.0,2.0,11.0,750.3647,40.080813,-83.036097,0.0005783893147600346,0.003939311192101663,1.0411007665680623,-10.743654823731404
0,0,2020-07-12 11:15:13+00:00,1594552513.0,1.0,12.0,750.3647,40.08082,-83.036091,0.0005783892968759494,0.004517700488977612,2.082201468753418,0.0
0,0,2020-07-12 11:15:14+00:00,1594552514.0,1.0,13.0,750.3647,40.080827,-83.036085,0.0005783892786243403,0.005096089767601952,2.082201403047625,0.0
0,0,2020-07-12 11:15:16+00:00,1594552516.0,2.0,15.0,750.3647,40.080833,-83.03608,0.0004916610286877775,0.00558775079628973,0.8849898516379996,0.0
0,0,2020-07-12 11:15:17+00:00,1594552517.0,1.0,16.0,750.3647,40.08084,-83.036074,0.0005783892457785559,0.006166140042068286,2.0822012848028013,0.0
0,0,2020-07-12 11:15:53+00:00,1594552553.0,36.0,52.0,750.0366,40.080847,-83.036068,0.0005783892275269431,0.006744529269595229,0.05783892275269431,-10.743656444093656
0,0,2020-07-12 11:15:54+00:00,1594552554.0,1.0,53.0,750.0366,40.080854,-83.036062,0.000578389210377897,0.007322918479973126,2.082201157360429,0.0
0,0,2020-07-12 11:15:56+00:00,1594552556.0,2.0,55.0,749.7085000000001,40.080897,-83.03603,0.0034188915674312156,0.010741810047404342,6.154004821376188,-1.817552568999167
0,0,2020-07-12 11:15:57+00:00,1594552557.0,1.0,56.0,749.3804,40.080931,-83.036011,0.0025549073404296614,0.013296717387834004,9.197666425546782,-2.4321880692829074
0,0,2020-07-12 11:15:59+00:00,1594552559.0,2.0,58.0,749.0523000000001,40.081026,-83.03599,0.006657098250366921,0.019953815638200926,11.982776850660457,-0.9334420069843036
0,0,2020-07-12 11:16:00+00:00,1594552560.0,1.0,59.0,749.0523000000001,40.081054,-83.035984,0.0019604464996841524,0.02191426213788508,7.057607398862949,0.0
0,0,2020-07-12 11:16:01+00:00,1594552561.0,1.0,60.0,749.0523000000001,40.081098,-83.035969,0.0031418304164626486,0.025056092554347726,11.310589499265536,0.0
0,0,2020-07-12 11:16:03+00:00,1594552563.0,2.0,62.0,748.7242,40.081173,-83.035947,0.005310919400408268,0.030367011954755996,9.559654920734882,-1.1700450869276335
0,0,2020-07-12 11:16:04+00:00,1594552564.0,1.0,63.0,748.7242,40.081214,-83.035948,0.0028333234421575996,0.0332003353969136,10.199964391767358,0.0
0,0,2020-07-12 11:16:06+00:00,1594552566.0,2.0,65.0,749.0523000000001,40.081291,-83.035965,0.005395567222465618,0.038595902619379216,9.712021000438114,1.1516889504486094
0,0,2020-07-12 11:16:07+00:00,1594552567.0,1.0,66.0,749.0523000000001,40.081318,-83.035976,0.001954057404710923,0.04054996002409014,7.0346066569593235,0.0
0,0,2020-07-12 11:16:09+00:00,1594552569.0,2.0,68.0,749.0523000000001,40.081372,-83.035992,0.0038257226345513574,0.0443756826586415,6.886300742192443,0.0
0,0,2020-07-12 11:16:11+00:00,1594552571.0,2.0,70.0,749.0523000000001,40.081418,-83.035994,0.003180055465216428,0.04755573812385793,5.724099837389571,0.0
0,0,2020-07-12 11:16:13+00:00,1594552573.0,2.0,72.0,749.3804,40.081451,-83.035976,0.0024706838675321217,0.050026421991390055,4.447230961557819,2.515099253762948
0,0,2020-07-12 11:16:14+00:00,1594552574.0,1.0,73.0,749.3804,40.081463,-83.035951,0.0015601804812175437,0.0515866024726076,5.6166497323831575,0.0
0,0,2020-07-12 11:16:16+00:00,1594552576.0,2.0,75.0,749.3804,40.081467,-83.035893,0.0030786252918495217,0.05466522776445712,5.541525525329139,0.0
0,0,2020-07-12 11:16:18+00:00,1594552578.0,2.0,77.0,749.7085000000001,40.081444,-83.035851,0.00273044689592511,0.05739567466038223,4.914804412665197,2.275823478123701
0,0,2020-07-12 11:16:19+00:00,1594552579.0,1.0,78.0,749.7085000000001,40.08143,-83.035855,0.0009901518153849656,0.05838582647576719,3.564546535385876,0.0
0,0,2020-07-12 11:16:20+00:00,1594552580.0,1.0,79.0,749.7085000000001,40.081417,-83.035861,0.0009525756972148357,0.05933840217298203,3.4292725099734085,0.0
0,0,2020-07-12 11:16:22+00:00,1594552582.0,2.0,81.0,749.7085000000001,40.081405,-83.035877,0.0011844406952398155,0.06052284286822185,2.131993251431668,0.0
0,0,2020-07-12 11:16:24+00:00,1594552584.0,2.0,83.0,749.3804,40.081401,-83.035901,0.0012985235636459164,0.061821366431867766,2.3373424145626496,-4.785446583710047
0,0,2020-07-12 11:16:25+00:00,1594552585.0,1.0,84.0,749.3804,40.081401,-83.035911,0.0005286547933888851,0.06235002122525665,1.9031572561999863,0.0
0,0,2020-07-12 11:16:27+00:00,1594552587.0,2.0,86.0,749.3804,40.0814,-83.035936,0.001323441817091782,0.06367346304234843,2.3821952707652074,0.0
0,0,2020-07-12 11:16:28+00:00,1594552588.0,1.0,87.0,749.3804,40.081398,-83.035948,0.000649261817957018,0.06432272486030545,2.337342544645265,0.0
0,0,2020-07-12 11:16:30+00:00,1594552590.0,2.0,89.0,749.3804,40.081386,-83.035966,0.001262118779547041,0.0655848436398525,2.2718138031846737,0.0
0,0,2020-07-12 11:16:31+00:00,1594552591.0,1.0,90.0,749.3804,40.08138,-83.035968,0.0004278311160710793,0.06601267475592357,1.5401920178558854,0.0
0,0,2020-07-12 11:16:33+00:00,1594552593.0,2.0,92.0,749.3804,40.081369,-83.035965,0.0007763986255024647,0.06678907338142603,1.3975175259044363,0.0
0,0,2020-07-12 11:16:35+00:00,1594552595.0,2.0,94.0,749.3804,40.081365,-83.035961,0.0003479922378604344,0.06713706561928647,0.626386028148782,0.0
0,0,2020-07-12 11:16:36+00:00,1594552596.0,1.0,95.0,749.3804,40.081365,-83.035961,0.0,0.06713706561928647,0.0,
0,0,2020-07-12 11:16:37+00:00,1594552597.0,1.0,96.0,749.3804,40.081366,-83.035962,8.699806034737049e-05,0.06722406367963384,0.3131930172505338,0.0
0,0,2020-07-12 11:16:39+00:00,1594552599.0,2.0,98.0,749.3804,40.081367,-83.035965,0.00017299351558994783,0.06739705719522378,0.3113883280619061,0.0
0,0,2020-07-12 11:16:40+00:00,1594552600.0,1.0,99.0,749.3804,40.081367,-83.035965,0.0,0.06739705719522378,0.0,
0,0,2020-07-12 11:16:41+00:00,1594552601.0,1.0,100.0,749.3804,40.081366,-83.035965,6.909341938293079e-05,0.06746615061460672,0.24873630977855085,0.0
0,0,2020-07-12 11:16:43+00:00,1594552603.0,2.0,102.0,749.3804,40.081365,-83.035964,8.699806034737049e-05,0.06755314867495409,0.1565965086252669,0.0
0,0,2020-07-12 11:19:00+00:00,1594552740.0,137.0,239.0,749.0523000000001,40.081309,-83.035948,0.003960607527143213,0.0715137562020973,0.1040743583774859,-1.568955042610941
0,0,2020-07-12 11:19:02+00:00,1594552742.0,2.0,241.0,749.0523000000001,40.081271,-83.035948,0.0026255499427045212,0.07413930614480181,4.725989896868138,0.0
0,0,2020-07-12 11:19:04+00:00,1594552744.0,2.0,243.0,748.7242,40.081217,-83.035943,0.0037403961710151235,0.07787970231581694,6.732713107827222,-1.6613253964031023
0,0,2020-07-12 11:19:05+00:00,1594552745.0,1.0,244.0,748.7242,40.081208,-83.035905,0.0021029360796332506,0.07998263839545018,7.570569886679702,0.0
0,0,2020-07-12 11:19:06+00:00,1594552746.0,1.0,245.0,748.7242,40.081212,-83.035891,0.0007900368524067007,0.08077267524785688,2.8441326686641224,0.0
0,0,2020-07-12 11:19:08+00:00,1594552748.0,2.0,247.0,746.7556,40.081151,-83.035771,0.007616329296847658,0.08838900454470454,13.709392734325785,-4.895283470020556
0,0,2020-07-12 11:19:10+00:00,1594552750.0,2.0,249.0,745.4432,40.081113,-83.035618,0.008503913255421812,0.09689291780012635,15.307043859759261,-2.922896772284399
0,0,2020-07-12 11:19:11+00:00,1594552751.0,1.0,250.0,745.1151,40.081115,-83.035536,0.00433718951722871,0.10123010731735506,15.613882262023358,-1.4327285277325976
0,0,2020-07-12 11:19:13+00:00,1594552753.0,2.0,252.0,744.4589000000001,40.081111,-83.03537,0.008780057534433804,0.11001016485178886,15.804103561980847,-1.4154839252804317
